zipcode,luse1,luse2,luse3,luse4,luse5,luse6,hhsize2,income5,PREDICTED_size
54.0,5.99142,6.02812,6.13105,6.48004,6.6455,6.15573,0,0.0,8700.553979236664
57.0,6.40027,6.43503,6.38833,6.45315,6.55108,6.38351,1,0.0,12870.439963708135
42.0,6.16933,6.13649,6.28791,6.59473,6.69876,6.3513,0,0.0,7639.7312102233445
60.0,6.76516,6.36279,6.21354,6.57144,6.8014,6.49458,0,1.0,13953.441457506633
1.0,5.49509,5.56375,5.89061,6.12725,6.23637,5.93371,0,0.0,3216.6696955620564
54.0,6.18978,6.25219,6.19748,6.24136,6.28776,6.18817,0,0.0,13096.105430403348
53.0,5.80085,6.09497,6.32889,6.45655,6.66759,6.34297,0,1.0,14989.110303295733
2.0,7.01711,6.80216,6.79812,7.0902,6.99498,6.92914,0,0.0,15206.187734199055
42.0,5.26245,5.26352,5.25307,5.32586,5.56545,5.48059,1,0.0,13249.784992370758
42.0,6.05347,5.96968,5.95301,6.12667,6.23998,6.12614,1,0.0,13744.425272506829
15.0,6.78204,6.57882,6.6059,6.82776,6.97143,6.55307,0,0.0,14856.838723961337
28.0,7.32729,7.30753,7.27562,7.50334,7.63332,7.4122,0,0.0,14877.960503542272
42.0,5.664,5.57288,5.39377,5.48357,5.689,5.561,1,0.0,13979.784354696774
52.0,6.29604,6.42416,6.5756,6.82441,6.93108,6.67759,0,0.0,5572.210898480639
2.0,7.34064,7.4122,7.46916,7.70156,7.74157,7.23172,1,0.0,9793.37365113489
15.0,6.53591,6.66097,6.64951,6.80748,6.73156,6.62526,0,0.0,10640.363205052834
49.0,7.26849,7.40767,7.51645,7.7146,7.83029,7.25264,0,0.0,7016.64153597394
28.0,6.65825,7.04358,7.14009,7.3931,7.59205,7.21948,0,0.0,5649.535994823056
54.0,7.14101,7.16232,7.11407,7.19417,7.21311,6.87031,0,0.0,12833.952632732971
54.0,6.06894,6.09032,6.10315,6.49302,6.81355,6.16335,0,0.0,10614.65363688992
1.0,5.53704,5.44415,5.44763,5.68042,6.00754,5.50826,0,0.0,12999.551935343476
58.0,6.85741,7.06109,7.1113,7.34021,7.42516,7.06605,0,0.0,8758.127705957888
53.0,5.87402,5.92409,5.89155,6.42628,6.17772,6.14604,0,0.0,11270.00802260596
58.0,5.86419,5.84813,5.90057,6.10471,6.54104,5.90431,0,0.0,12444.914228995307
15.0,6.94485,6.72122,6.44213,6.5981,6.97419,6.59032,0,0.0,18209.319804612023
28.0,6.24327,6.16161,6.24198,6.38726,6.46427,6.36135,0,0.0,11270.214705620057
49.0,6.46198,6.48047,6.55178,6.86944,7.07203,6.59523,1,0.0,11185.782720132449
44.0,5.19242,5.09708,5.26812,5.3851,5.51823,5.2899,1,1.0,8820.350947925981
42.0,5.4421,4.92537,4.66287,4.788,4.78619,5.20888,1,0.0,14918.67067874466
28.0,5.97813,6.09479,6.24559,6.60488,6.7701,6.28834,0,0.0,6503.138407078688
28.0,6.69243,6.78825,6.90274,7.1105,7.1446,7.01413,0,1.0,16836.073903843604
50.0,5.46643,5.53313,5.51836,5.75665,5.85037,5.53304,0,0.0,10974.689282833717
28.0,7.07549,6.60189,6.58238,6.70787,6.7954,6.69725,0,0.0,17165.840767322337
15.0,4.98447,5.10908,5.10094,5.30876,5.569,5.05398,0,0.0,10230.72622196761
60.0,6.33193,6.19708,6.29633,6.48481,6.82723,6.27201,0,0.0,10956.770763884688
28.0,6.84753,7.16235,7.03118,7.0431,7.35902,7.17277,0,0.0,10262.937782581837
53.0,6.55821,6.67606,6.83862,7.18187,7.22976,6.81927,0,0.0,6596.71227281984
49.0,6.46509,6.57046,6.73983,7.10838,7.34536,6.94093,0,1.0,14815.029529621635
53.0,5.45585,5.65416,5.99113,6.22791,6.2602,5.89304,0,0.0,2004.387479884328
60.0,4.69732,4.61127,4.91449,5.24808,5.37316,4.76143,0,0.0,6194.132439680801
54.0,6.96681,7.03211,7.06858,7.25832,7.33365,7.09642,0,0.0,11992.813133219803
1.0,5.64139,5.7609,5.90177,6.21159,6.44982,5.89602,1,0.0,11766.06752541695
59.0,5.34281,5.38088,5.31895,5.3674,5.67128,5.29422,1,0.0,13504.656362393936
15.0,4.76858,4.84147,4.84313,4.92873,4.92485,4.85916,0,1.0,9170.10088281638
60.0,6.57155,6.56708,6.48692,6.55128,6.82748,6.45828,1,0.0,13024.928890364205
40.0,6.00366,6.26004,6.38623,6.51284,6.46816,6.38282,1,0.0,11972.471537647558
53.0,6.47625,6.69786,6.81418,7.09682,7.14265,6.77157,0,0.0,6455.512379457006
75.0,6.53976,6.57503,6.79182,6.91522,6.88769,6.8585,1,1.0,13339.151085719383
15.0,4.61487,4.82389,4.98133,5.34573,5.55288,5.37145,1,0.0,12676.234641314397
42.0,6.60898,6.68642,6.76433,6.82657,6.77494,6.70055,0,0.0,10233.365105911795
57.0,5.61657,5.66189,5.59649,5.5724,5.68078,5.95132,0,0.0,14734.963195000593
42.0,5.67804,5.43095,5.38281,5.50316,5.46115,5.53946,0,0.0,16106.822483075703
15.0,6.04055,6.10794,6.04954,6.14945,6.34432,6.23575,0,0.0,14152.805072792718
54.0,6.24702,6.34121,6.53218,6.8105,6.95263,6.47178,0,0.0,4925.886948904302
49.0,5.94731,5.96544,6.01817,6.28754,6.53171,5.99224,0,0.0,10685.462165165663
42.0,6.48527,6.43781,6.38325,6.41676,6.44438,6.40331,0,0.0,14931.15770704592
60.0,5.82207,5.62881,5.69421,6.24093,6.78089,6.30866,0,1.0,13576.520964961002
49.0,6.37908,6.33448,6.50088,6.75127,7.0184,6.47582,0,0.0,7658.970507179572
1.0,6.44525,6.43962,6.67685,7.04941,6.93577,6.59085,0,0.0,5683.719488896225
59.0,6.44084,6.71037,6.78817,6.76767,6.96261,6.78468,0,0.0,7419.299745244345
53.0,5.66893,5.65299,5.588,5.61993,5.62501,5.61078,0,1.0,12617.502946595714
42.0,6.11941,6.16925,6.1615,6.2539,6.31705,6.2511,0,1.0,11732.525811299194
75.0,5.90431,5.83462,5.78905,5.9662,5.97504,5.56052,0,0.0,13278.333000347397
53.0,5.72129,5.58138,5.49239,5.7116,5.98814,5.50446,0,0.0,15236.211358523196
59.0,4.4867,4.80646,6.1061,6.65106,6.88957,6.32477,0,1.0,16552.83840855885
15.0,5.80857,5.86813,6.29661,6.39543,6.60715,6.23838,1,0.0,11434.803772771156
57.0,6.62846,6.37201,6.27309,6.09141,6.19077,6.27046,0,0.0,15946.217188504987
1.0,6.91322,6.79787,7.20203,7.30954,7.42844,7.08942,0,0.0,4938.199003967765
57.0,6.71581,6.7042,6.92286,6.99506,6.82283,6.71916,0,0.0,6340.791571568896
42.0,5.40779,5.35594,5.58645,5.87427,5.84773,5.50989,0,0.0,6835.703062162032
1.0,4.20373,5.52519,5.22562,5.11129,5.01018,4.88171,0,0.0,6173.191026949358
28.0,5.75136,5.73117,5.9581,6.36695,6.37472,5.87048,0,0.0,6247.899158824662
25.0,6.57204,6.75674,6.72465,6.8267,6.90808,6.67483,1,0.0,11878.106029798537
53.0,6.06865,6.07742,6.06626,6.0509,6.1271,6.08111,1,0.0,14105.121974998332
42.0,6.30265,6.41494,6.46297,6.5868,6.63277,6.48068,1,0.0,11633.261736453655
1.0,5.64596,4.89859,4.78729,5.1108,5.50729,4.96087,1,0.0,15034.53115420853
1.0,5.06317,5.13088,5.07442,5.08813,5.11675,5.13816,1,0.0,13342.818863578088
28.0,5.76544,5.71071,5.71769,5.98879,6.18918,5.96598,0,0.0,14585.126106826907
58.0,7.06963,6.48175,6.47072,6.79556,6.94874,6.54934,0,0.0,17057.883522456505
60.0,5.5036,5.5374,5.47521,5.72867,6.21503,5.55295,0,0.0,12229.157775018884
28.0,5.59008,5.57294,5.52415,5.85932,6.12466,5.79399,0,0.0,14061.091099216612
53.0,5.79924,5.9025,5.94227,6.07364,6.13691,6.00383,0,0.0,9890.37372774744
42.0,7.01332,7.19265,7.35553,7.53544,7.52075,7.18407,0,0.0,5712.838944839178
49.0,5.9086,5.97635,6.17282,6.44163,6.44827,6.11807,1,1.0,13510.624024325036
42.0,5.38083,5.46879,5.4999,5.44877,5.414,5.2769,0,0.0,10266.578937671975
57.0,7.24905,6.71468,6.54013,6.3042,6.24203,6.61415,1,1.0,4820.385599476546
1.0,6.60552,6.54674,6.8889,7.30778,7.42864,6.66701,0,0.0,3697.887310415422
54.0,6.97737,6.85595,6.83048,6.86404,6.92467,6.77166,0,0.0,15396.108671488468
28.0,6.31022,6.3288,6.36206,6.57529,6.6255,6.24488,0,1.0,13411.480396533196
49.0,4.87177,4.95193,5.07224,5.54983,5.74517,5.25676,0,0.0,7472.029000896357
54.0,6.49347,6.50316,6.62281,6.79927,6.82249,6.62057,0,0.0,8707.275599867973
57.0,6.83047,6.82094,6.59968,6.61934,6.7368,6.56126,1,0.0,11224.732556371424
54.0,5.4098,5.60304,5.61056,5.9208,6.16823,5.67224,0,0.0,9091.655325752166
1.0,6.73122,6.73538,6.77916,6.93195,7.03742,6.74326,1,0.0,11914.859012673316
15.0,6.77414,6.83117,6.87961,7.02686,7.09988,6.81546,0,0.0,9899.623439535648
15.0,6.27929,6.25665,6.37545,6.69124,6.7016,6.60132,0,0.0,8927.594409642223
49.0,5.56438,5.50182,5.45722,5.41089,5.4385,5.53794,1,0.0,13790.73063894095
28.0,6.93406,6.69634,6.62679,6.67576,6.68845,6.63227,0,0.0,16065.683143367703
40.0,5.19951,5.46327,5.79692,6.25312,6.2523,6.0877,1,1.0,17109.25211065356
28.0,6.20657,6.17007,6.37574,6.50011,6.50405,6.39062,0,0.0,7691.791687135437
49.0,6.2774,6.03606,5.75284,5.99203,6.51136,6.04626,1,0.0,14356.55537853099
15.0,5.47372,5.4743,5.61343,5.78622,6.06265,5.52594,0,0.0,8476.863182956968
54.0,5.29267,5.25278,5.29351,5.637,6.08287,5.2383,0,0.0,9648.56534633365
25.0,6.56731,6.80472,6.72427,6.47377,6.49635,6.39884,1,0.0,12291.139478398212
15.0,7.14313,7.24184,7.30662,7.33656,7.50944,7.19643,0,0.0,9994.932682637538
57.0,6.4136,6.41957,6.39393,6.59351,6.92606,6.32811,1,0.0,11698.265759366863
28.0,6.5759,6.47962,6.43259,6.79438,7.05445,6.68676,0,0.0,14697.729154069762
15.0,5.24918,5.13295,5.2039,5.43305,5.85426,5.10786,1,0.0,13353.964794220656
15.0,5.73441,5.85091,5.99358,5.79032,5.90022,5.8576,0,0.0,8458.037684691293
49.0,6.00331,6.07883,6.04175,6.14343,6.37961,6.01845,0,0.0,11622.379266678196
15.0,6.35044,6.16918,6.08638,6.10979,6.03855,5.6425,0,0.0,15727.65668634051
42.0,4.64911,4.66108,4.70734,4.49521,4.41468,4.65803,0,0.0,15414.100833002913
57.0,6.12591,5.94476,5.93619,6.38532,6.85629,6.19665,1,0.0,13563.51547340076
57.0,5.76536,5.76959,5.82504,6.24315,6.25618,5.82605,1,1.0,10814.465315703788
53.0,5.93396,6.04929,6.10081,6.22174,6.32827,6.05394,0,0.0,9361.581465257294
58.0,5.87572,5.98706,6.54942,6.77751,6.98734,6.05483,0,0.0,1204.902861221577
42.0,5.73417,5.78774,5.81222,6.208,6.49308,6.29825,0,0.0,11515.01655507844
42.0,6.83634,6.70705,6.70308,6.87402,6.98031,6.77328,0,0.0,14665.330021420978
57.0,6.72595,6.74026,6.68904,6.92622,7.07868,6.64076,0,0.0,13113.031396311208
53.0,5.78447,5.29091,5.17426,5.26721,5.40974,5.24381,1,0.0,15002.529957657893
49.0,6.75358,7.1076,7.56274,7.83819,7.91551,7.06105,0,0.0,845.2217836715372
15.0,6.64432,6.6354,6.60728,6.8927,6.96197,6.77815,0,0.0,13852.346011025493
59.0,7.1863,7.176,7.23987,7.08188,7.02864,6.95774,1,0.0,10686.402374563908
57.0,6.09101,6.08227,6.44089,6.58008,6.45677,6.25561,0,0.0,2961.755643457672
54.0,6.17417,6.16145,6.13226,6.27117,6.40933,6.26662,1,1.0,7047.155488357605
54.0,6.05161,5.75081,5.78881,5.85418,5.92011,5.82428,1,0.0,14050.74951837627
42.0,5.94892,5.95333,5.92125,6.04603,6.15914,6.03742,1,0.0,13475.773835943774
42.0,6.65118,6.60427,6.57194,6.69895,6.74226,6.71928,1,0.0,12867.840640590075
54.0,6.88648,6.84642,7.0507,7.27613,7.40977,6.93456,0,0.0,8243.344512733021
28.0,6.24753,5.85505,5.80741,5.94,6.36417,6.38412,0,0.0,16284.133738537843
28.0,5.96656,5.66639,5.59198,5.74177,5.91194,5.78463,0,1.0,7334.669804784946
54.0,7.40585,7.40643,7.4343,7.69304,7.43064,7.46042,0,0.0,9341.837288149049
54.0,6.80315,6.8135,6.69915,6.84516,6.86406,6.8488,0,1.0,8474.17892732532
53.0,6.01393,6.13082,6.26463,6.47896,6.77016,6.43227,1,0.0,12414.610395567377
49.0,5.47285,5.43166,5.41633,5.58959,5.76599,5.57864,0,1.0,13189.162778446223
54.0,6.35176,5.47135,5.64263,5.60704,5.60875,5.3923,0,0.0,15979.95415237721
15.0,6.36132,6.39658,6.43048,6.6628,6.77921,6.4033,1,0.0,10863.84489787178
1.0,6.16357,6.18167,6.52566,6.82688,6.93272,6.13048,1,0.0,12207.37869749092
42.0,6.42305,6.45766,6.41089,6.58688,6.70684,6.57953,0,1.0,14100.731243388658
42.0,7.13001,6.57339,6.49641,6.6674,6.72199,6.49164,0,0.0,18583.680271496403
42.0,5.27794,5.41382,5.75238,6.10344,5.84644,5.5275,1,0.0,11685.345531155104
54.0,6.73131,6.67544,6.78351,6.85165,6.99206,6.63021,1,0.0,11680.441099464559
2.0,6.31364,6.1901,6.0221,5.89165,6.04783,5.99477,1,0.0,14700.532107848383
57.0,6.70874,6.72357,6.83192,7.01648,7.27416,6.74847,0,0.0,8954.17712954658
54.0,5.90424,5.99171,5.98815,6.17049,6.26258,6.20422,0,0.0,11187.598952768563
57.0,6.18712,6.20091,6.18203,6.37667,6.30049,6.28756,0,0.0,13185.25196330184
53.0,5.47571,6.10416,6.10806,5.76621,5.20343,5.04673,0,1.0,16519.189246635597
42.0,6.27725,6.42632,6.66531,6.9538,7.01486,6.62198,1,0.0,12505.389663869464
48.0,5.89715,5.52433,5.48523,5.83502,6.18166,5.91695,1,0.0,14232.548758762026
57.0,5.99005,5.85358,5.85166,5.99924,6.40544,6.06569,0,0.0,14852.911524569969
60.0,6.04419,6.10333,5.8988,6.35014,6.57427,6.07096,0,0.0,14573.958112632165
1.0,6.74178,6.77647,7.08576,7.32319,7.19291,7.17734,0,0.0,3616.9568993600697
50.0,4.92362,4.85739,4.81066,4.88712,5.07238,4.97357,0,0.0,13572.949239602929
54.0,7.05876,6.95785,6.92204,7.19014,7.3451,6.9785,0,0.0,13223.731917885483
49.0,6.84045,6.77859,6.79757,6.8856,6.88223,6.79213,0,0.0,13649.063219773247
1.0,6.86463,7.03966,7.00301,7.25886,7.37279,7.18089,1,0.0,11621.358520391703
42.0,6.19499,6.35558,6.42225,6.82405,7.14511,6.91168,0,0.0,7997.351444738399
42.0,6.84138,7.41752,7.384,7.28776,7.26745,6.96212,0,0.0,7948.6776222386625
42.0,4.9235,5.34162,5.68079,5.84834,5.68072,5.35973,0,0.0,3881.8258319467404
1.0,5.95582,5.82826,6.06387,6.38039,6.50269,5.90909,1,0.0,11335.26503698028
53.0,5.76822,5.60235,5.46439,5.4912,5.49193,5.49299,1,1.0,4900.563188291122
58.0,5.91207,5.93599,5.98377,6.07637,6.23669,5.90322,1,0.0,13225.479964498683
42.0,6.00037,5.97679,5.87399,6.04277,6.16109,5.99622,0,0.0,15414.909167131507
50.0,4.8995,4.99365,5.21799,5.62611,5.81507,5.57861,0,0.0,5187.824076570279
42.0,5.30745,5.23466,5.44738,5.98538,6.04291,5.66244,0,0.0,7204.5959891986
57.0,6.60325,6.73572,6.9119,7.1939,7.23281,6.97194,1,0.0,11183.892762868312
42.0,6.26623,6.39771,6.51592,6.55622,6.76147,6.64441,1,0.0,11544.140001635435
28.0,6.10783,6.12905,6.09152,6.38655,6.71944,6.49374,0,1.0,15357.680795119126
1.0,6.22828,6.53698,6.96248,7.04581,7.20505,6.65846,0,1.0,13730.363280872374
53.0,5.86032,5.98669,6.13672,6.46024,6.47547,6.24836,0,0.0,6443.211437236259
42.0,5.17774,4.93971,4.94627,5.30454,5.54133,5.4954,0,0.0,14572.401603728886
50.0,5.59977,5.70649,5.6952,5.76115,5.76079,5.69043,0,0.0,10351.738312837617
49.0,6.15465,6.12068,6.1435,6.34934,6.34365,6.02002,1,0.0,13156.169326236475
57.0,6.87509,6.83278,7.0306,7.42295,7.63182,6.96518,0,0.0,8125.690897840208
15.0,6.74266,6.82748,6.88333,6.93734,7.03184,6.85532,0,0.0,9766.810871851947
1.0,5.12273,4.94734,4.91812,5.24451,5.67427,5.02343,1,0.0,13810.397966076267
1.0,6.55797,6.71474,7.15347,7.40344,7.49782,6.61107,0,1.0,15364.14821723258
1.0,5.48444,5.70022,5.86957,5.81284,5.87745,5.79246,1,0.0,12500.11756153725
28.0,5.77064,5.86276,5.96736,6.21661,6.39522,6.10184,0,0.0,8303.019376036144
28.0,6.66454,6.60823,6.52052,6.69835,6.84016,6.61429,0,0.0,16147.480630795402
28.0,6.10819,6.33205,6.57782,6.74641,6.83944,6.72827,0,0.0,2852.799205821454
57.0,4.92787,5.09524,5.16783,5.3839,5.52638,5.11493,1,0.0,12855.610332695182
15.0,5.53598,5.35039,5.55725,5.81483,5.69947,5.48193,0,0.0,10315.276164510404
53.0,5.96105,6.03,5.84721,5.83645,6.07789,5.84344,0,0.0,15157.173451227725
42.0,5.36668,5.19881,5.30074,5.4931,5.73282,5.3595,0,0.0,10777.554595166119
59.0,5.76618,5.8301,5.9892,5.79901,5.8951,5.66853,0,0.0,9031.700593582547
42.0,6.45146,6.59282,6.52411,6.69859,6.90512,6.53349,0,1.0,12736.11422294327
42.0,5.94473,5.82837,5.89865,6.51384,6.77428,6.23254,0,0.0,10485.839462521972
15.0,6.9349,6.93698,7.1854,7.7145,7.73179,6.75041,0,1.0,7351.330854951404
28.0,6.30736,6.24269,6.08739,5.97728,6.39318,6.24981,0,0.0,16310.682870386669
53.0,5.76779,5.88954,5.79788,5.84267,5.94723,5.86574,1,0.0,13478.315248384966
42.0,6.50876,6.51932,6.4659,6.46875,6.47992,6.47805,0,0.0,14622.188605458075
60.0,5.57615,5.47545,5.40809,5.45827,6.239,5.68603,1,0.0,13312.999095333082
42.0,6.22158,6.39449,6.60442,6.90876,7.04837,6.62362,1,0.0,11889.85339828137
57.0,6.60828,6.70955,6.80062,6.98564,6.93786,6.57346,0,0.0,8083.982438579358
15.0,7.39981,7.00099,6.70926,6.65732,6.61027,6.5082,1,0.0,12024.47100029547
28.0,6.78803,6.78602,6.72615,6.79167,6.81979,6.81147,0,0.0,14824.880796052596
15.0,6.596,6.44118,6.28409,6.26793,6.4562,6.40378,0,0.0,15864.988908125259
49.0,5.55369,5.46361,5.48971,5.55043,5.85555,5.91549,1,0.0,13599.54191627932
15.0,6.59767,6.30923,6.31502,6.33959,6.54728,6.2961,0,1.0,13200.47315312659
15.0,6.3222,6.33695,6.18293,6.33915,6.55213,6.22631,0,0.0,15693.23575985512
52.0,4.89384,4.91941,5.0115,5.1921,5.17804,5.06048,0,0.0,8175.828445510814
1.0,6.66531,6.56465,6.68986,7.01971,7.09954,6.77542,0,0.0,9510.617731461885
57.0,5.40319,5.39306,5.44679,5.41103,4.60853,4.68021,0,0.0,10418.079474914204
1.0,6.42446,6.53287,6.80611,7.02583,7.18557,6.73904,0,0.0,3849.7998440504534
42.0,5.93755,5.88639,6.22538,6.7979,7.16492,6.9058,0,0.0,3897.4136504911785
57.0,6.16892,6.29571,6.31465,6.67091,7.11477,6.36718,0,0.0,9455.534803906126
28.0,5.48994,5.54437,5.56508,5.6992,5.74165,5.59089,0,0.0,10760.304669312474
42.0,4.31061,4.18651,4.19828,4.26821,4.72411,4.67596,0,0.0,11991.378777309314
75.0,6.50189,6.5935,6.6522,6.63616,6.73414,6.51777,0,0.0,9459.895603160441
57.0,5.48869,5.51441,5.41382,5.62846,5.83909,5.5091,0,0.0,14489.927649429468
1.0,5.97855,5.99935,6.08774,6.12496,6.22572,6.12739,0,0.0,9422.599227659704
1.0,6.10835,5.95765,6.19121,6.55249,7.12164,6.47619,1,0.0,12320.009530029276
28.0,6.15675,5.92867,5.85616,6.11787,6.48402,6.40819,0,0.0,16501.964791249426
58.0,6.34382,6.48321,6.99772,7.36545,7.45819,6.96445,0,0.0,449.9978929659137
15.0,6.04817,5.98541,6.14707,6.83825,7.00743,6.44887,1,0.0,10439.870147549136
28.0,6.03033,6.0675,6.03659,6.04395,6.07355,6.11845,0,0.0,12569.910800609938
57.0,7.02372,7.00466,6.99658,7.09656,7.2148,6.70996,0,0.0,13776.753176463513
28.0,5.54457,5.79091,6.02703,6.41555,6.5514,5.98771,0,0.0,3098.039386414406
28.0,6.50152,6.4144,6.33859,6.31984,6.35982,6.4192,0,0.0,15286.577683679243
52.0,6.07781,5.90442,6.10368,6.45148,6.37547,6.0646,0,0.0,8177.402717583768
15.0,5.9593,5.41395,5.62814,5.85949,5.98896,5.61454,0,0.0,14426.70373259497
42.0,6.20771,6.22458,6.4462,6.74894,6.80373,6.47455,0,1.0,15131.822098188626
15.0,5.95689,5.97941,6.00079,6.06309,6.13877,5.98125,1,0.0,13381.47804281511
42.0,6.77006,6.8599,6.88482,6.97875,7.20996,7.01574,0,0.0,10590.815298715648
15.0,5.24978,5.18333,5.2856,5.66515,5.965,5.36235,0,0.0,10030.278803124393
57.0,6.13801,6.1462,6.10601,6.23933,6.32473,6.23157,0,0.0,13574.599002281238
53.0,5.97296,5.6857,5.87851,6.37409,6.61031,5.89971,1,1.0,10715.345395792196
53.0,5.94879,5.96599,5.99508,6.30733,6.49743,6.03626,0,0.0,11072.353966080009
1.0,5.42324,5.73743,5.68308,5.89074,5.89041,5.58475,0,0.0,8478.714730394659
75.0,7.26935,7.1602,7.16737,7.36396,7.42062,7.15767,0,0.0,12444.805026981106
15.0,6.25487,6.5904,6.64169,6.80399,6.8518,6.63767,1,0.0,11862.618842069687
28.0,6.29624,6.42872,6.63612,6.97722,7.05778,6.54489,0,0.0,4814.044862913283
50.0,5.81447,5.73239,5.73476,5.84427,5.93423,5.8623,0,0.0,14213.137084979846
15.0,5.5485,5.46003,5.665,5.99807,6.0573,5.76856,0,0.0,7231.049649895649
28.0,5.45514,5.56329,5.6598,5.78736,5.78692,5.68975,0,1.0,13990.333692679613
60.0,4.9699,4.94949,4.99643,5.44038,5.90656,4.982,0,0.0,10354.071883747858
60.0,5.86576,5.87986,6.05289,6.49694,6.6704,5.94949,1,0.0,11876.118669899106
57.0,4.87094,5.00479,5.01007,5.0864,5.08947,4.95398,1,0.0,12939.577678792944
42.0,6.76436,6.87154,7.16021,7.58509,7.66016,7.23685,0,0.0,3923.2090737060535
49.0,6.64341,6.79941,6.91248,7.23366,7.36614,6.96672,0,0.0,7196.624410861016
54.0,5.56067,5.5295,5.40762,5.60249,5.94705,5.55867,1,0.0,13686.26654823422
51.0,5.56471,5.96281,6.11772,6.35534,6.40352,6.05647,1,0.0,12314.682288464825
1.0,6.5507,6.48219,6.68153,7.00555,7.21301,6.55349,0,0.0,7468.133660194806
53.0,6.37464,6.44428,6.48372,6.86092,6.89233,6.47064,0,0.0,9923.121546635062
15.0,6.24541,6.28984,6.24526,6.44893,6.74805,6.34283,1,0.0,13068.286939731908
15.0,5.42348,5.46133,5.58192,6.03351,6.11914,5.61933,0,0.0,8643.684595592611
42.0,5.6626,5.7412,5.86698,6.07757,6.10595,5.77809,1,0.0,11778.036640077156
28.0,6.38176,6.41416,6.51639,6.84301,6.95918,6.71311,0,0.0,8890.601344991337
42.0,5.26848,5.41185,5.45506,5.55422,5.60114,5.6159,1,0.0,12627.580977799491
42.0,6.65175,6.70067,6.74744,6.89285,7.08348,6.82378,0,0.0,10678.066785753812
25.0,6.70661,6.99474,7.2842,7.32281,7.37107,6.92852,0,0.0,2732.1757149249224
16.0,4.92177,4.84987,4.78805,4.83767,4.94103,5.02987,1,0.0,13349.143994151611
75.0,6.0068,5.83501,6.2225,6.28804,6.28465,6.15827,1,0.0,12002.450397496183
53.0,6.18393,6.21242,6.1257,6.34472,6.65661,6.35056,0,0.0,14847.960650600422
60.0,6.63403,6.36972,6.1773,6.17945,6.22762,6.33493,0,0.0,16595.459536767918
42.0,6.1259,6.1204,6.15151,6.53849,6.82183,6.53536,0,1.0,15592.897390871076
15.0,5.60971,5.60339,5.50772,5.74388,5.87549,5.64702,0,0.0,14324.96136325444
1.0,6.02224,5.41179,5.33117,5.32802,5.30929,5.6507,0,0.0,18783.795822629938
58.0,6.12025,6.19576,6.17895,6.2352,6.27638,6.16817,1,0.0,13725.289895388174
42.0,5.18876,5.239,5.29953,5.75455,5.75718,5.35364,1,0.0,12653.101108658218
1.0,6.44909,6.48956,6.5287,6.67879,6.84669,6.5701,0,0.0,10921.37260269588
15.0,6.27872,6.25496,6.2683,6.52296,6.75654,6.32766,0,0.0,12621.293142025843
53.0,6.17309,6.20155,6.28155,6.33703,6.48856,6.22367,1,0.0,13092.034200253198
42.0,6.54578,7.06053,7.54619,7.83924,7.84472,7.50436,0,0.0,222.03952902199853
28.0,5.3016,5.22667,5.22176,5.524,5.7434,5.48699,1,0.0,13829.661979846729
42.0,6.48678,6.48262,6.50764,6.6747,6.61246,6.39383,0,0.0,13256.780799612952
59.0,6.50551,6.53754,6.59829,7.34816,7.69569,7.20004,0,0.0,8963.250379435813
42.0,6.13071,6.07273,5.81774,6.03885,6.19109,5.97667,0,0.0,15824.983717229337
